18.47,937.62,698.62,42.483694,1.208143,37.4,241.3,9:34:16,.489442,
18.47,937.70,697.99,42.482754,1.207168,38.7,196.7,9:34:23,.488415,
18.45,938.11,694.32,42.481489,1.206771,41.1,198.7,9:34:30,.487835,
18.42,938.56,690.31,42.481310,1.206682,41.3,200.3,9:34:31,.486789,
18.38,938.89,687.41,42.479403,1.205230,39.1,229.6,9:34:43,.485825,
18.36,939.17,684.93,42.478741,1.203781,39.4,234.4,9:34:50,.485717,
18.39,939.29,683.88,42.477653,1.203190,36.0,176.6,9:34:57,.484198,
18.38,939.12,685.39,42.476527,1.203276,35.9,193.0,9:35:4,2.483694,
18.40,938.96,686.83,42.475539,1.202802,39.9,199.8,9:35:10,.482754,
18.45,939.20,684.68,42.474297,1.202071,43.1,203.2,9:35:17,.481489,
18.51,939.78,679.57,42.472946,1.201757,41.5,181.2,9:35:24,.481310,
18.53,940.16,676.14,42.471692,1.202376,41.0,159.4,9:35:31,.479403,
18.48,940.22,675.62,42.470418,1.202532,40.6,163.1,9:35:38,.478741,
18.41,940.29,675.01,42.469358,1.201986,41.4,207.7,9:35:44,.477653,
18.42,940.41,673.98,42.468133,1.201201,41.4,205.2,9:35:51,.476527,
18.40,940.46,673.51,42.467049,1.200235,36.8,218.2,9:35:58,.475539,
18.33,940.45,673.59,42.466929,1.200041,36.3,223.7,9:35:59,.474297,
18.31,940.45,673.62,42.466816,1.197101,41.4,268.5,9:36:12,.472946,
18.33,940.58,672.46,42.466918,1.195554,42.3,284.1,9:36:18,.471692,
18.34,940.59,672.43,42.467123,1.193736,42.5,281.5,9:36:25,.470418,
18.37,940.52,673.00,42.467185,1.192035,36.7,252.5,9:36:32,.469358,
18.37,940.67,671.69,42.466637,1.190744,38.0,242.5,9:36:38,.468133,
18.39,940.82,670.35,42.466143,1.189071,40.4,245.8,9:36:45,.467049,
18.38,940.85,670.09,42.465888,1.187359,41.1,267.8,9:36:52,.466929,
18.39,940.71,671.31,42.466104,1.185575,41.4,284.5,9:36:59,.466816,
18.42,940.62,672.09,42.466143,1.185323,41.0,281.2,9:37:0,2.466918,
18.48,940.92,669.51,42.465780,1.182399,42.2,237.1,9:37:12,.467123,
18.56,941.40,665.20,42.464807,1.181066,43.6,218.5,9:37:19,.467185,
18.64,942.10,659.07,42.463792,1.179642,47.0,231.4,9:37:26,.466637,
18.79,942.60,654.66,42.462880,1.178004,45.0,235.8,9:37:33,.466143,
18.91,942.84,652.57,42.462454,1.176551,43.6,238.6,9:37:39,.465888,
19.00,943.02,650.92,42.461811,1.174874,44.2,239.5,9:37:46,.466104,
19.09,943.27,648.77,42.460928,1.173378,43.5,232.7,9:37:53,.       
19.17,943.48,646.90,42.460328,1.171641,42.4,246.7,9:38:0,         
19.26,943.67,645.23,42.460244,1.171402,42.2,244.2,9:38:1,         
19.38,943.89,643.27,42.458545,1.169199,41.7,208.2,9:38:13,        
19.45,943.82,643.87,42.457527,1.168339,37.2,221.0,9:38:20,        
19.47,943.78,644.24,42.456532,1.167415,36.0,223.7,9:38:27,        
19.47,944.04,642.00,42.455919,1.165860,43.3,251.1,9:38:34,        
19.52,944.38,639.00,42.455727,1.164240,43.9,254.8,9:38:40,        
19.57,944.63,636.73,42.455546,1.162430,41.2,252.1,9:38:47,.460328,
19.58,944.73,635.84,42.454968,1.160887,39.8,250.8,9:38:54,.460244,
19.57,944.65,636.55,42.454444,1.159276,40.3,234.2,9:39:1,2.458545,
19.59,944.63,636.77,42.454328,1.159083,39.3,230.3,9:39:2,2.457527,
19.63,944.60,636.99,42.452633,1.157048,40.7,227.3,9:39:14,.456532,
19.69,944.62,636.86,42.451993,1.155528,41.7,256.9,9:39:21,.455919,
19.75,944.82,635.13,42.451847,1.153661,41.5,258.2,9:39:28,.455727,
19.81,945.04,633.15,42.451784,1.153418,40.8,250.5,9:39:29,.4555   
19.75,945.37,630.28,42.450592,1.150991,36.6,272.1,9:39:42,        
19.77,945.77,626.70,42.450236,1.149737,37.3,229.9,9:39:48,        
19.81,946.18,623.10,42.449878,1.148211,39.6,269.5,9:39:55,        
20.00,946.39,621.24,42.449844,1.146390,41.5,268.8,9:40:2,         
20.25,946.55,619.87,42.449576,1.144962,41.5,268.7,9:40:8,         
20.42,946.55,619.91,42.448663,1.143809,36.7,223.7,9:40:15,        
